Fish Code,MaxLen,TempPref,SubPref,VertPos,Trophic,Long,Maturity,Fecund
BANDDART,78,Warm,Rubble,Benthic,Invertivore,4,1.5,156
BANDSCUL,180,Cool/warm,Rubble,Benthic,Invertivore,6,2,692
BLACDACE,100,Cool,Rubble,Benthic,Omnivore,4,2,4758
BLUEGILL,410,Warm,Various,Non-benthic,Invertivore-piscivore,5,2.5,40950
BLUECHUB,260,Cool,Rubble,Benthic,Omnivore,11,1.5,755
BLUNMINN,100,Cool/warm,Various,Non-benthic,Omnivore,6,1.2,5382
BROOTROU,860,Cold,Rubble,Non-benthic,Invertivore-piscivore,15,2.5,3456
COMMSHIN,180,Cool/warm,Rubble,Non-benthic,Omnivore,7,2,2170
CREECHUB,300,Cool,Rubble,Non-benthic,Invertivore-piscivore,9,2,4327
CCHUBSUC,360,Cool,Sand,Non-benthic,Omnivore,7,1.5,45257
CRESSHIN,110,Cool/warm,Various,Non-benthic,Invertivore,4,2,500
CUTLMINN,160,Cool/warm,Rubble,Non-benthic,Invertivore,5,2.5,761
FALLFISH,510,Cool,Sand,Non-benthic,Invertivore-piscivore,9,2.5,6500
FANTDART,84,Cool,Rubble,Benthic,Invertivore,5,1.5,1265
GREESUNF,310,Warm,Silt/mud,Non-benthic,Invertivore-piscivore,5,1.5,6000
GREEDART,170,Cool/warm,Rubble,Benthic,Invertivore,10,2,1200
JOHNDART,72,Cool/warm,Rubble,Benthic,Invertivore,4,1,723
LONGDACE,178,Cool,Rubble,Benthic,Invertivore,5,2,2100
MARGMADT,150,Cool/warm,Rubble,Benthic,Invertivore,5,2.5,138
MOTTSCUL,150,Cold/cool,Rubble,Benthic,Invertivore,6,2,2000
MTREDDAC,72,Cool/warm,Sand,Non-benthic,Herbivore-detritivore,3,1.5,500
NORTHOGS,610,Cool,Rubble,Benthic,Invertivore,10,3.5,3000
PUMPSEED,400,Warm,Silt/mud,Non-benthic,Invertivore,12,2,3800
RAINTROU,1200,Cold/cool,Rubble,Non-benthic,Invertivore-piscivore,11,3.5,6100
REDBSUNF,305,Warm,Rubble,Non-benthic,Invertivore,8,2,4764
RIVECHUB,320,Cool/warm,Rubble,Benthic,Omnivore,5,3,700
ROCKBASS,430,Cool/warm,Rubble,Non-benthic,Invertivore-piscivore,18,2.5,6500
ROSESHIN,85,Cool/warm,Rubble,Non-benthic,Invertivore,3,1.5,400
ROSYDACE,110,Cold/cool,Sand,Non-benthic,Invertivore,5,1.5,559
SMALBASS,690,Cool/warm,Rubble,Non-benthic,Piscivore,15,3,14858
STONROLL,220,Cool/warm,Rubble,Benthic,Herbivore-detritivore,5,2.5,2475
STRISHIN,180,Cool/warm,Rubble,Non-benthic,Omnivore,6,2,1025
TESSDART,110,Cool/warm,Silt/mud,Benthic,Invertivore,4,1,766
TORRSUCK,180,Cool,Rubble,Benthic,Herbivore-detritivore,7,4,1246
WHITSUCK,640,Cold/cool,Various,Benthic,Omnivore,17,2.8,80000
YELLBULL,470,Warm,Rubble,Benthic,Invertivore-piscivore,7,2.5,4325
